🔥 VECTORIZING ALL PARQUETS (24 CPUs)
======================================================================

Found 248 parquet files

  Processed: 10 files, 9443 vectors
  Processed: 20 files, 19596 vectors
  Processed: 30 files, 32092 vectors
  Processed: 40 files, 43026 vectors
  Processed: 50 files, 64397 vectors
  Processed: 60 files, 117079 vectors
  Processed: 70 files, 194895 vectors
  Processed: 80 files, 234655 vectors
  Processed: 90 files, 262203 vectors
  Processed: 100 files, 274131 vectors
  Processed: 110 files, 441407 vectors
  Processed: 120 files, 708438 vectors
  Processed: 130 files, 779296 vectors
  Processed: 140 files, 930384 vectors
